week,kickoff,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
1,2026-09-04,Missouri,Arkansas-Pine Bluff,FALSE,NA,-54.5,54.5,NA,NA,NA,60.5,NA,NA,NA,NA,NA,NA
1,2026-09-04,Beloit,Rockford,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Arkansas Tech,Southwestern Oklahoma State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Ouachita Baptist,East Central,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Oklahoma Baptist,Southern Arkansas,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Chadron State,Nebraska Kearney,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Fort Hays,CSU Pueblo,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Western New Mexico,New Mexico Highlands,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Utah,Idaho,FALSE,NA,-32.5,32.5,NA,NA,NA,56.5,NA,NA,NA,NA,NA,NA
1,2026-09-04,Nichols,MIT,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Ferris State,Bentley,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Rowan,Mary Hardin Baylor,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Methodist,Shenandoah,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Albright,Gallaudet,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Dickinson,Randolph Macon,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Keystone,Alvernia,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Georgia State,North Carolina A&T,FALSE,NA,-28.5,28.5,NA,NA,NA,63.5,NA,NA,NA,NA,NA,NA
1,2026-09-04,Marist,Franklin Pierce,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Franklin & Marshall,Lebanon Valley,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Stevenson,Bridgewater,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Springfield,Western New England,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,UMass Dartmouth,Salve Regina,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Norwich,St. Lawrence,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Purdue,Indiana State,FALSE,NA,-34.5,34.5,NA,NA,NA,56.5,NA,NA,NA,NA,NA,NA
1,2026-09-04,Pace,East Stroudsburg,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Rochester (NY),Case Western Reserve,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Hobart,Alfred,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Misericordia,Hartwick,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,Ursinus,Delaware Valley,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-04,McDaniel,Catholic,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Carthage,Lakeland,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Kansas,Long Island University,FALSE,NA,-38.5,38.5,NA,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Pacific (OR),Howard Payne,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Stetson,Webber International,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,UConn,Lafayette,FALSE,NA,-19.5,19.5,NA,NA,NA,58.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Army,Bryant,FALSE,NA,-36.5,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Hillsdale,McKendree,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Rensselaer,WPI,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Wabash,Hampden Sydney,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Grove City,SUNY Cortland,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Albion,Illinois Wesleyan,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Davenport,Truman State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Plymouth State,New England College,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Mass Maritime,Maine Maritime,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Dean,Fitchburg State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Otterbein,Calvin,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2026-09-05,Bowling Green,Tarleton State,FALSE,NA,-2.5,2.5,NA,NA,NA,47.5,NA,NA,NA,NA,NA,NA
1,2026-09-05,Syracuse,New Hampshire,FALSE,NA,-32.5,32.5,NA,NA,NA,55.5,NA,NA,NA,NA,NA,NA
